INICIO|FIN|GRUPO|SECTOR|SUBSECTOR|PRODUCTO|TIPO|SUBTIPO|POSICION|CATEGORIA|FORMATO|PRECIO|UNIDAD
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PEPINO|NO DESIGNADO|SIN ESPECIFICAR|Agricultor|II||0.15|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PIMIENTO|||Mercas|||1.66|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PIMIENTO|CALIFORNIA|AMARILLO|Agricultor|I||1.38|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PIMIENTO|CALIFORNIA|AMARILLO|Agricultor|II||0.5|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PIMIENTO|CALIFORNIA|AMARILLO|Subasta|||1.48|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PIMIENTO|CALIFORNIA|NARANJA|Agricultor|I||1.4|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PIMIENTO|CALIFORNIA|NARANJA|Agricultor|II||0.78|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PIMIENTO|CALIFORNIA|ROJO|Agricultor|I||0.95|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PIMIENTO|CALIFORNIA|ROJO|Agricultor|II||0.38|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PIMIENTO|CALIFORNIA|ROJO|Subasta|||0.97|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PIMIENTO|CALIFORNIA|SIN ESPECIFICAR|Agricultor|I||1.27|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PIMIENTO|CALIFORNIA|SIN ESPECIFICAR|Agricultor|II||0.32|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PIMIENTO|CALIFORNIA|SIN ESPECIFICAR|Subasta|||0.33|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PIMIENTO|CALIFORNIA|VERDE|Agricultor|I||0.79|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PIMIENTO|CALIFORNIA|VERDE|Agricultor|II||0.33|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PIMIENTO|CALIFORNIA|VERDE|Subasta|||0.79|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PIMIENTO|DULCE CÓNICO|SIN ESPECIFICAR|Agricultor|I||1.12|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PIMIENTO|DULCE CÓNICO|SIN ESPECIFICAR|Agricultor|II||0.24|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PIMIENTO|ITALIANO|SIN ESPECIFICAR|Agricultor|I||0.95|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PIMIENTO|ITALIANO|SIN ESPECIFICAR|Agricultor|II||0.77|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PIMIENTO|ITALIANO|SIN ESPECIFICAR|Subasta|||1.04|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PIMIENTO|LAMUYO|ROJO|Agricultor|I||0.74|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PIMIENTO|LAMUYO|ROJO|Agricultor|II||0.29|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PIMIENTO|LAMUYO|ROJO|Subasta|||0.79|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PIMIENTO|LAMUYO|SIN ESPECIFICAR|Agricultor|I||1.07|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PIMIENTO|LAMUYO|SIN ESPECIFICAR|Agricultor|II||0.34|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PIMIENTO|LAMUYO|SIN ESPECIFICAR|Subasta|||1.2|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PIMIENTO|LAMUYO|VERDE|Agricultor|I||0.72|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PIMIENTO|LAMUYO|VERDE|Agricultor|II||0.37|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PIMIENTO|LAMUYO|VERDE|Subasta|||0.79|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PIMIENTO|NO DESIGNADO|SIN ESPECIFICAR|Agricultor|I||2.15|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PIMIENTO|NO DESIGNADO|SIN ESPECIFICAR|Agricultor|II||0.36|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PIMIENTO|SNACK|SIN ESPECIFICAR|Agricultor|I||1.88|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|PIMIENTO|SNACK|SIN ESPECIFICAR|Agricultor|II||0.3|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|SANDIA|||Mercas|||0.88|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|TOMATE|||Mercas|||1.47|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|TOMATE|ASURCADO |SIN ESPECIFICAR|Agricultor|I||0.69|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|TOMATE|ASURCADO |SIN ESPECIFICAR|Agricultor|II||0.32|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|TOMATE|ASURCADO |SIN ESPECIFICAR|Subasta|||0.54|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|TOMATE|LARGA VIDA|SIN ESPECIFICAR|Agricultor|I||0.73|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|TOMATE|LARGA VIDA|SIN ESPECIFICAR|Agricultor|II||0.3|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|TOMATE|LARGA VIDA|SIN ESPECIFICAR|Subasta|||0.66|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|TOMATE|LISO|SIN ESPECIFICAR|Agricultor|I||0.55|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|TOMATE|LISO|SIN ESPECIFICAR|Agricultor|II||0.46|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|TOMATE|LISO|SIN ESPECIFICAR|Subasta|||0.53|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|TOMATE|NO DESIGNADO|SIN ESPECIFICAR|Agricultor|I||0.62|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|TOMATE|NO DESIGNADO|SIN ESPECIFICAR|Agricultor|II||0.26|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|TOMATE|PERA|SIN ESPECIFICAR|Agricultor|I||0.5|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|TOMATE|PERA|SIN ESPECIFICAR|Agricultor|II||0.24|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|TOMATE|PERA|SIN ESPECIFICAR|Subasta|||0.53|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|TOMATE|RAMA|SIN ESPECIFICAR|Agricultor|I||0.75|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|TOMATE|RAMA|SIN ESPECIFICAR|Agricultor|II||0.52|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|TOMATE|RAMA|SIN ESPECIFICAR|Subasta|||0.8|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|TOMATE|TIPO CHERRY|PERA SUELTO ROJO|Agricultor|I||1.34|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|TOMATE|TIPO CHERRY|PERA SUELTO ROJO|Agricultor|II||1.14|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|TOMATE|TIPO CHERRY|REDONDO RAMA ROJO|Agricultor|I||1.43|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|TOMATE|TIPO CHERRY|REDONDO RAMA ROJO|Agricultor|II||0.58|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|TOMATE|TIPO CHERRY|REDONDO SUELTO ROJO|Agricultor|I||1.23|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|TOMATE|TIPO CHERRY|REDONDO SUELTO ROJO|Agricultor|II||0.33|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|TOMATE|TIPO CHERRY|SIN ESPECIFICAR|Agricultor|I||1.86|Euros/kg
2018-01-01|2018-07-01|Agrícola|Hortalizas|Hortícolas protegidos|TOMATE|TIPO CHERRY|SIN ESPECIFICAR|Agricultor|II||1.13|Euros/kg
2018-01-01|2018-07-01|Agricultura ecológica|Hortalizas ecológicas|Hortícolas protegidos ecológicos|BERENJENA (ECO)|LARGA (ECO)|SIN ESPECIFICAR (ECO)|Agricultor|||0.83|Euros/kg
2018-01-01|2018-07-01|Agricultura ecológica|Hortalizas ecológicas|Hortícolas protegidos ecológicos|CALABACIN (ECO)|VERDE (ECO)|SIN ESPECIFICAR (ECO)|Agricultor|||1.08|Euros/kg
2018-01-01|2018-07-01|Agricultura ecológica|Hortalizas ecológicas|Hortícolas protegidos ecológicos|PEPINO (ECO)|TIPO HOLANDÉS O ALMERÍA (ECO)|SIN ESPECIFICAR (ECO)|Agricultor|||1.13|Euros/kg
2018-01-01|2018-07-01|Agricultura ecológica|Hortalizas ecológicas|Hortícolas protegidos ecológicos|PIMIENTO (ECO)|CALIFORNIA (ECO)|AMARILLO (ECO)|Agricultor|||1.45|Euros/kg
2018-01-01|2018-07-01|Agricultura ecológica|Hortalizas ecológicas|Hortícolas protegidos ecológicos|PIMIENTO (ECO)|CALIFORNIA (ECO)|ROJO (ECO)|Agricultor|||1.37|Euros/kg
2018-01-01|2018-07-01|Agricultura ecológica|Hortalizas ecológicas|Hortícolas protegidos ecológicos|PIMIENTO (ECO)|CALIFORNIA (ECO)|VERDE (ECO)|Agricultor|||1.14|Euros/kg
2018-01-01|2018-07-01|Agricultura ecológica|Hortalizas ecológicas|Hortícolas protegidos ecológicos|PIMIENTO (ECO)|DULCE CÓNICO (ECO)|ROJO (ECO)|Agricultor|||1.54|Euros/kg
2018-01-01|2018-07-01|Agricultura ecológica|Hortalizas ecológicas|Hortícolas protegidos ecológicos|PIMIENTO (ECO)|DULCE CÓNICO (ECO)|SIN ESPECIFICAR (ECO)|Agricultor|||1.42|Euros/kg
2018-01-01|2018-07-01|Agricultura ecológica|Hortalizas ecológicas|Hortícolas protegidos ecológicos|TOMATE (ECO)|PERA (ECO)|SIN ESPECIFICAR (ECO)|Agricultor|||0.72|Euros/kg
2018-01-01|2018-07-01|Agricultura ecológica|Hortalizas ecológicas|Hortícolas protegidos ecológicos|TOMATE (ECO)|RAMA (ECO)|SIN ESPECIFICAR (ECO)|Agricultor|||0.88|Euros/kg
2018-01-01|2018-07-01|Agricultura ecológica|Hortalizas ecológicas|Hortícolas protegidos ecológicos|TOMATE (ECO)|REDONDO (ECO)|SIN ESPECIFICAR (ECO)|Agricultor|||0.62|Euros/kg
2018-01-01|2018-07-01|Agricultura ecológica|Hortalizas ecológicas|Hortícolas protegidos ecológicos|TOMATE (ECO)|TIPO CHERRY (ECO)|PERA SUELTO ROJO (ECO)|Agricultor|||1.6|Euros/kg
2018-01-01|2018-07-01|Agricultura ecológica|Hortalizas ecológicas|Hortícolas protegidos ecológicos|TOMATE (ECO)|TIPO CHERRY (ECO)|REDONDO RAMA ROJO (ECO)|Agricultor|||1.86|Euros/kg
2018-01-01|2018-07-01|Agricultura ecológica|Hortalizas ecológicas|Hortícolas protegidos ecológicos|TOMATE (ECO)|TIPO CHERRY (ECO)|REDONDO SUELTO ROJO (ECO)|Agricultor|||1.29|Euros/kg
2018-08-01|2018-01-14|Agrícola|Frutales|Citricos|LIMON|||Mercas|||0.95|Euros/kg
2018-08-01|2018-01-14|Agrícola|Frutales|Citricos|MANDARINA|||Mercas|||0.85|Euros/kg
2018-08-01|2018-01-14|Agrícola|Frutales|Citricos|NARANJA|||Mercas|||0.76|Euros/kg
2018-08-01|2018-01-14|Agrícola|Frutales|Citricos|POMELO|||Mercas|||1.0|Euros/kg
2018-08-01|2018-01-14|Agrícola|Frutales|Frutales de cáscara|ALMENDRA|PEPITA|COMUNA|Agricultor|||4.54|Euros/kg
2018-08-01|2018-01-14|Agrícola|Frutales|Frutales de cáscara|ALMENDRA|PEPITA|LARGUETA|Agricultor|||5.13|Euros/kg
2018-08-01|2018-01-14|Agrícola|Frutales|Frutales no cítricos|AGUACATE|||Mercas|||3.78|Euros/kg
2018-08-01|2018-01-14|Agrícola|Frutales|Frutales no cítricos|AGUACATE|NO DESIGNADO|BACON|Agricultor|I||1.2|Euros/kg
2018-08-01|2018-01-14|Agrícola|Frutales|Frutales no cítricos|AGUACATE|NO DESIGNADO|BACON|Agricultor|II||0.3|Euros/kg
2018-08-01|2018-01-14|Agrícola|Frutales|Frutales no cítricos|AGUACATE|NO DESIGNADO|BACON|Agricultor|SIN ESPECIFICAR||0.62|Euros/kg
2018-08-01|2018-01-14|Agrícola|Frutales|Frutales no cítricos|AGUACATE|NO DESIGNADO|FUERTE|Agricultor|I||1.77|Euros/kg
2018-08-01|2018-01-14|Agrícola|Frutales|Frutales no cítricos|AGUACATE|NO DESIGNADO|FUERTE|Agricultor|II||0.65|Euros/kg
2018-08-01|2018-01-14|Agrícola|Frutales|Frutales no cítricos|AGUACATE|NO DESIGNADO|FUERTE|Agricultor|SIN ESPECIFICAR||1.43|Euros/kg
2018-08-01|2018-01-14|Agrícola|Frutales|Frutales no cítricos|AGUACATE|NO DESIGNADO|HASS|Agricultor|I||2.99|Euros/kg
2018-08-01|2018-01-14|Agrícola|Frutales|Frutales no cítricos|AGUACATE|NO DESIGNADO|HASS|Agricultor|II||1.68|Euros/kg
2018-08-01|2018-01-14|Agrícola|Frutales|Frutales no cítricos|AGUACATE|NO DESIGNADO|HASS|Agricultor|SIN ESPECIFICAR||2.71|Euros/kg
2018-08-01|2018-01-14|Agrícola|Frutales|Frutales no cítricos|AGUACATE|NO DESIGNADO|SIN ESPECIFICAR|Agricultor|I||1.96|Euros/kg
2018-08-01|2018-01-14|Agrícola|Frutales|Frutales no cítricos|AGUACATE|NO DESIGNADO|SIN ESPECIFICAR|Agricultor|II||0.48|Euros/kg
2018-08-01|2018-01-14|Agrícola|Frutales|Frutales no cítricos|AGUACATE|NO DESIGNADO|SIN ESPECIFICAR|Agricultor|SIN ESPECIFICAR||1.5|Euros/kg
2018-08-01|2018-01-14|Agrícola|Frutales|Frutales no cítricos|CHIRIMOYA|||Mercas|||2.74|Euros/kg
2018-08-01|2018-01-14|Agrícola|Frutales|Frutales no cítricos|CHIRIMOYA|NO DESIGNADO|FINO DE JETE|Agricultor|EXTRA||2.14|Euros/kg
2018-08-01|2018-01-14|Agrícola|Frutales|Frutales no cítricos|CHIRIMOYA|NO DESIGNADO|FINO DE JETE|Agricultor|I||1.78|Euros/kg
2018-08-01|2018-01-14|Agrícola|Frutales|Frutales no cítricos|CHIRIMOYA|NO DESIGNADO|FINO DE JETE|Agricultor|II||0.9|Euros/kg
2018-08-01|2018-01-14|Agrícola|Frutales|Frutales no cítricos|MANGO|||Mercas|||1.81|Euros/kg
2018-08-01|2018-01-14|Agrícola|Hortalizas|Frutos rojos|FRAMBUESA|||Agricultor|I|Sin especificar|7.13|Euros/kg
2018-08-01|2018-01-14|Agrícola|Hortalizas|Frutos rojos|FRESÓN|||Agricultor|I|Especialidades|2.89|Euros/kg
2018-08-01|2018-01-14|Agrícola|Hortalizas|Frutos rojos|FRESÓN|||Agricultor|I|Estándar|2.52|Euros/kg
